day,avg_bcv,avg_parallel,avg_spread,min_spread,max_spread,readings
2026-05-26,535.81,734.37,37.06,35.86,37.58,11
2026-05-25,530.91,720.85,35.77,33.74,37.59,12
2026-05-24,530.5,719.03,35.54,35.18,35.77,5
2026-05-23,530.5,721.24,35.95,35.62,36.44,5
2026-05-22,527.78,712.4,34.98,34.7,35.84,8
2026-05-21,523.94,709.79,35.47,34.63,36.06,12
2026-05-20,521.17,704.39,35.16,32.95,36.32,11
2026-05-19,518.23,702.46,35.55,31.04,38.91,11
2026-05-18,517.96,715.92,38.22,36.96,39.84,11
2026-05-17,517.96,700.76,35.29,34.02,37.3,5
2026-05-16,517.96,692.03,33.61,33.04,34.09,5
2026-05-15,515.41,685.15,32.93,31.76,34.55,12
2026-05-14,511.15,675.42,32.14,31.48,33.03,12
2026-05-13,509.04,668.0,31.23,30.9,31.81,5
2026-05-12,505.03,665.59,31.79,30.76,32.25,32
2026-05-11,501.33,660.66,31.78,30.5,32.65,169
